Loan_ID,Disbursement_Date,Fiscal_Year,State,State_Tier,Sector,ITC_HS_Chapter,Enterprise_Size,Lending_Bank,Loan_Type,Loan_Amount_INR,Export_Turnover_INR,Turnover_Volatility_Pct,Destination_Country,Destination_Risk,NPA_History,IES_Eligible,Risk_Score,Risk_Tier,IES_Claimed
IES000001,2016-04-13,FY2016-17,Andhra Pradesh,2,Leather & Footwear,41-64,Small,Bank of India,Pre-Shipment Credit,1484966,5488407,34.9,UAE,Low,No,Yes,33,Medium,Yes
IES000002,2021-04-17,FY2021-22,Maharashtra,1,Leather & Footwear,41-64,Small,Axis Bank,Pre-Shipment Credit,1040413,2047590,12.8,UAE,Low,No,Yes,13,Low,Yes
IES000003,2021-07-22,FY2021-22,Karnataka,1,Gems & Jewellery,71,Small,State Bank of India,Post-Shipment Credit,10280161,16055077,53.5,Sri Lanka,Medium,No,No,35,Medium,No
IES000004,2017-07-20,FY2017-18,Chhattisgarh,3,Agriculture & Food Products,01-24,Micro,SIDBI,Pre-Shipment Credit,641640,2564845,15.6,USA,Low,No,Yes,35,Medium,Yes
IES000005,2015-11-22,FY2015-16,Rajasthan,2,Plastics & Rubber,39-40,Small,Punjab National Bank,ECGC-backed Term Loan,1275411,3077218,31.2,USA,Low,No,No,33,Medium,No
IES000006,2019-03-27,FY2018-19,Maharashtra,1,Leather & Footwear,41-64,Medium,Bank of Baroda,Post-Shipment Credit,2579344,7211420,19.6,Sri Lanka,Medium,No,Yes,38,Medium,Yes
IES000007,2020-06-23,FY2020-21,Karnataka,1,Leather & Footwear,41-64,Small,Bank of India,ECGC-backed Term Loan,622959,1480420,23.3,South Africa,Medium,No,No,33,Medium,No
IES000008,2017-12-30,FY2017-18,Andhra Pradesh,2,Chemicals & Pharma,28-30,Small,Punjab National Bank,ECGC-backed Term Loan,4258543,12214395,44.3,Germany,Low,No,No,25,Low,No
IES000009,2020-04-29,FY2020-21,Gujarat,1,Engineering Goods,84-85,Micro,SIDBI,Export Bill Discounting,1591166,5214638,7.3,Sri Lanka,Medium,No,Yes,20,Low,Yes
IES000010,2020-07-18,FY2020-21,West Bengal,2,Plastics & Rubber,39-40,Micro,Indian Bank,Packing Credit,337075,1119977,13.5,Turkey,Medium,No,Yes,28,Low,Yes
IES000011,2023-08-13,FY2023-24,Andhra Pradesh,2,Plastics & Rubber,39-40,Micro,SIDBI,Export Bill Discounting,717206,2548017,27.0,Turkey,Medium,No,Yes,38,Medium,Yes
IES000012,2016-04-25,FY2016-17,Haryana,2,Chemicals & Pharma,28-30,Small,Indian Bank,Packing Credit,3286722,6133400,29.8,China,Medium,No,Yes,25,Low,Yes
